step,israeli_tanks,egyptian_tanks,israeli_infantry,egyptian_infantry,bridgehead_zone_israeli,bridgehead_zone_egyptian,chinese_farm_israeli,chinese_farm_egyptian,run,group
,127.0,11.0,7.0,0.0,18.0,1268.0,70.0,1971.0,0,0
,128.0,7.0,7.0,0.0,17.0,1268.0,70.0,1971.0,0,0
,129.0,7.0,7.0,0.0,17.0,1266.0,72.0,1970.0,0,0
,130.0,7.0,7.0,0.0,17.0,1266.0,72.0,1971.0,0,0
,131.0,7.0,7.0,0.0,17.0,1266.0,72.0,1970.0,0,0
,132.0,7.0,7.0,0.0,17.0,1266.0,72.0,1969.0,0,0
,133.0,7.0,7.0,0.0,17.0,1265.0,74.0,1968.0,0,0
,134.0,7.0,7.0,0.0,16.0,1266.0,75.0,1969.0,0,0
,135.0,4.0,7.0,0.0,16.0,1268.0,75.0,1971.0,0,0
,136.0,2.0,6.0,0.0,16.0,1269.0,75.0,1971.0,0,0
,137.0,2.0,6.0,0.0,15.0,1269.0,75.0,1970.0,0,0
,138.0,2.0,5.0,0.0,15.0,1268.0,77.0,1969.0,0,0
,139.0,2.0,4.0,0.0,15.0,1267.0,78.0,1968.0,0,0
,140.0,2.0,4.0,0.0,15.0,1267.0,78.0,1968.0,0,0
,141.0,2.0,4.0,0.0,14.0,1267.0,78.0,1968.0,0,0
,142.0,2.0,4.0,0.0,14.0,1267.0,78.0,1968.0,0,0
,143.0,2.0,4.0,0.0,14.0,1267.0,78.0,1968.0,0,0
,144.0,2.0,4.0,0.0,14.0,1267.0,78.0,1968.0,0,0
,145.0,2.0,4.0,0.0,14.0,1267.0,78.0,1968.0,0,0
,146.0,2.0,4.0,0.0,14.0,1268.0,78.0,1969.0,0,0
,147.0,2.0,4.0,0.0,14.0,1268.0,78.0,1969.0,0,0
,148.0,2.0,4.0,0.0,14.0,1269.0,78.0,1970.0,0,0
,149.0,2.0,4.0,0.0,14.0,1269.0,78.0,1970.0,0,0
,150.0,2.0,4.0,0.0,14.0,1269.0,78.0,1970.0,0,0
,151.0,2.0,4.0,0.0,14.0,1268.0,79.0,1969.0,0,0
,152.0,2.0,4.0,0.0,13.0,1268.0,79.0,1969.0,0,0
,153.0,2.0,4.0,0.0,13.0,1268.0,79.0,1969.0,0,0
,154.0,2.0,4.0,0.0,13.0,1267.0,80.0,1968.0,0,0
,155.0,2.0,4.0,0.0,12.0,1267.0,80.0,1968.0,0,0
,156.0,2.0,4.0,0.0,11.0,1266.0,82.0,1967.0,0,0
,157.0,2.0,4.0,0.0,10.0,1265.0,83.0,1966.0,0,0
,158.0,2.0,4.0,0.0,10.0,1262.0,86.0,1963.0,0,0
,159.0,2.0,4.0,0.0,10.0,1261.0,87.0,1962.0,0,0
,160.0,2.0,4.0,0.0,10.0,1261.0,87.0,1962.0,0,0
,161.0,2.0,4.0,0.0,9.0,1260.0,88.0,1961.0,0,0
,162.0,2.0,4.0,0.0,9.0,1257.0,91.0,1958.0,0,0
,163.0,2.0,3.0,0.0,9.0,1256.0,92.0,1957.0,0,0
,164.0,2.0,3.0,0.0,8.0,1255.0,93.0,1956.0,0,0
,165.0,2.0,3.0,0.0,8.0,1254.0,94.0,1955.0,0,0
,166.0,2.0,3.0,0.0,8.0,1254.0,94.0,1955.0,0,0
,167.0,2.0,3.0,0.0,8.0,1253.0,95.0,1954.0,0,0
,168.0,2.0,3.0,0.0,8.0,1251.0,97.0,1951.0,0,0
,169.0,2.0,3.0,0.0,8.0,1251.0,97.0,1951.0,0,0
,170.0,2.0,3.0,0.0,8.0,1251.0,97.0,1951.0,0,0
,171.0,2.0,3.0,0.0,8.0,1251.0,98.0,1951.0,0,0
,172.0,2.0,3.0,0.0,8.0,1251.0,98.0,1951.0,0,0
,173.0,2.0,3.0,0.0,8.0,1250.0,99.0,1950.0,0,0
,174.0,2.0,3.0,0.0,8.0,1249.0,100.0,1949.0,0,0
,175.0,2.0,3.0,0.0,8.0,1248.0,101.0,1948.0,0,0
,176.0,2.0,3.0,0.0,8.0,1247.0,102.0,1947.0,0,0
,177.0,2.0,3.0,0.0,7.0,1248.0,101.0,1948.0,0,0
,178.0,2.0,3.0,0.0,7.0,1249.0,101.0,1949.0,0,0
,179.0,1.0,3.0,0.0,7.0,1248.0,102.0,1948.0,0,0
,180.0,1.0,3.0,0.0,7.0,1247.0,103.0,1947.0,0,0
,181.0,1.0,3.0,0.0,7.0,1247.0,103.0,1947.0,0,0
,182.0,1.0,3.0,0.0,7.0,1247.0,103.0,1947.0,0,0
,183.0,1.0,3.0,0.0,7.0,1247.0,103.0,1947.0,0,0
,184.0,1.0,3.0,0.0,7.0,1247.0,103.0,1946.0,0,0
,185.0,1.0,3.0,0.0,7.0,1246.0,104.0,1945.0,0,0
,186.0,1.0,3.0,0.0,7.0,1246.0,104.0,1945.0,0,0
,187.0,1.0,3.0,0.0,7.0,1246.0,104.0,1945.0,0,0
,188.0,1.0,3.0,0.0,7.0,1245.0,105.0,1944.0,0,0
,189.0,1.0,3.0,0.0,7.0,1245.0,105.0,1944.0,0,0
,190.0,1.0,2.0,0.0,7.0,1245.0,105.0,1944.0,1,1
,191.0,1.0,2.0,0.0,7.0,1246.0,104.0,1945.0,1,1
,192.0,1.0,1.0,0.0,7.0,1246.0,104.0,1945.0,1,1
,193.0,1.0,1.0,0.0,7.0,1247.0,103.0,1946.0,1,1
,194.0,1.0,1.0,0.0,7.0,1248.0,102.0,1946.0,1,1
,195.0,1.0,1.0,0.0,7.0,1249.0,101.0,1947.0,1,1
,196.0,1.0,1.0,0.0,7.0,1249.0,101.0,1947.0,1,1
,197.0,1.0,1.0,0.0,7.0,1250.0,100.0,1948.0,1,1
,198.0,1.0,0.0,0.0,7.0,1251.0,99.0,1949.0,1,1
,199.0,1.0,0.0,0.0,7.0,1251.0,99.0,1948.0,1,1
,200.0,1.0,0.0,0.0,7.0,1251.0,99.0,1948.0,1,1
